"Target Post","Target Title","From Post","From Title","Cluster","Link URL","Anchor Text"
"2025-10-29-azure-periodic-table-service-dictionary.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-periodic-table-service-dictionary",""
"2025-10-29-azure-periodic-table-service-dictionary.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-periodic-table-service-dictionary",""
"2025-10-29-azure-periodic-table-service-dictionary.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-periodic-table-service-dictionary",""
"2025-10-09-azure-console-button-lie.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/azure-console-button-lie",""
"2025-11-12-cloud-migration-reality-check.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/cloud-migration-reality-check",""
"2025-11-12-cloud-migration-reality-check.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/cloud-migration-reality-check",""
"2025-11-12-cloud-migration-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/cloud-migration-reality-check",""
"2025-11-12-cloud-migration-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/cloud-migration-reality-check",""
"2025-11-17-ai-azure-admins-gap.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/ai-azure-admins-gap",""
"2025-11-30-mcp-vs-powerbi-ai-what-actually-creates-dashboards.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/mcp-vs-powerbi-ai-what-actually-creates-dashboards",""
"2025-11-06-terraform-azure-devops-cicd-part4-branch-policies.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part4-branch-policies",""
"2025-11-06-terraform-azure-devops-cicd-part4-branch-policies.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part4-branch-policies",""
"2025-11-06-terraform-azure-devops-cicd-part4-branch-policies.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part4-branch-policies",""
"2025-12-08-azure-cost-optimization-what-actually-works.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-optimization-what-actually-works",""
"2025-12-08-azure-cost-optimization-what-actually-works.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-optimization-what-actually-works",""
"2025-12-08-azure-cost-optimization-what-actually-works.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-cost-optimization-what-actually-works",""
"2025-12-10-migration-hub.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/migration-hub",""
"2025-12-10-migration-hub.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/migration-hub",""
"2025-12-10-migration-hub.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/migration-hub",""
"2025-12-10-azure-finops-complete-guide.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-finops-complete-guide",""
"2025-12-10-azure-finops-complete-guide.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-finops-complete-guide",""
"2025-10-28-azure-ai-collaboration-gap.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/azure-ai-collaboration-gap",""
"2025-12-13-azure-landing-zone-reality-check.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-landing-zone-reality-check",""
"2025-12-13-azure-landing-zone-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-landing-zone-reality-check",""
"2025-12-13-azure-landing-zone-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-landing-zone-reality-check",""
"2025-11-04-software-rationalization-step-zero-devops.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/software-rationalization-step-zero-devops",""
"2025-11-04-software-rationalization-step-zero-devops.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/software-rationalization-step-zero-devops",""
"2025-11-04-software-rationalization-step-zero-devops.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/software-rationalization-step-zero-devops",""
"2025-11-04-software-rationalization-step-zero-devops.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/software-rationalization-step-zero-devops",""
"2025-11-04-software-rationalization-step-zero-devops.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/software-rationalization-step-zero-devops",""
"2025-10-15-azure-is-your-cell-phone.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-is-your-cell-phone",""
"2025-10-15-azure-is-your-cell-phone.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-is-your-cell-phone",""
"2025-10-25-not-renewing-azure-certs-choosing-ai-102.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/not-renewing-azure-certs-choosing-ai-102",""
"2025-12-16-azure-governance-napkin-test.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-governance-napkin-test",""
"2025-12-16-azure-governance-napkin-test.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-governance-napkin-test",""
"2025-12-16-azure-governance-napkin-test.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-governance-napkin-test",""
"2025-10-06-azure-debugging-ai-rule.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/azure-debugging-ai-rule",""
"it-roles-responsibilities-matrix.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/it-roles-responsibilities-matrix",""
"2025-10-06-stop-reading-caf.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/stop-reading-caf",""
"2025-11-08-terraform-azure-devops-cicd-part6-troubleshooting.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part6-troubleshooting",""
"2025-11-08-terraform-azure-devops-cicd-part6-troubleshooting.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part6-troubleshooting",""
"2025-11-08-terraform-azure-devops-cicd-part6-troubleshooting.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part6-troubleshooting",""
"2025-10-27-soc2-activity-log-step-by-step.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/soc2-activity-log-step-by-step",""
"2025-11-02-terraform-azure-devops-cicd-series-index.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-series-index",""
"2025-11-02-terraform-azure-devops-cicd-series-index.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-series-index",""
"2025-10-15-azure-migrate-enterprise-hybrid.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/azure-migrate-enterprise-hybrid",""
"2025-11-18-the-ai-admin.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/the-ai-admin",""
"2025-11-18-the-ai-admin.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/the-ai-admin",""
"2025-11-18-the-ai-admin.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/the-ai-admin",""
"2025-11-18-the-ai-admin.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/the-ai-admin",""
"2025-12-09-azure-command-finder.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-command-finder",""
"2025-12-09-azure-command-finder.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-command-finder",""
"2025-09-29-azure-vm-automation-dependency-hell.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-vm-automation-dependency-hell",""
"2025-09-29-azure-vm-automation-dependency-hell.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-vm-automation-dependency-hell",""
"2025-09-29-azure-vm-automation-dependency-hell.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-vm-automation-dependency-hell",""
"2025-11-07-terraform-azure-devops-cicd-part5-production-best-practices.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part5-production-best-practices",""
"2025-11-07-terraform-azure-devops-cicd-part5-production-best-practices.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part5-production-best-practices",""
"2025-11-07-terraform-azure-devops-cicd-part5-production-best-practices.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part5-production-best-practices",""
"2025-12-08-50-windows-commands-azure.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/50-windows-commands-azure",""
"2025-12-08-50-windows-commands-azure.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/50-windows-commands-azure",""
"2025-12-08-50-windows-commands-azure.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/50-windows-commands-azure",""
"2025-12-07-azure-reporting-role-microsoft-should-create.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-reporting-role-microsoft-should-create",""
"2025-12-07-azure-reporting-role-microsoft-should-create.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/azure-reporting-role-microsoft-should-create",""
"2025-12-07-azure-reporting-role-microsoft-should-create.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-reporting-role-microsoft-should-create",""
"2025-10-16-azure-chargeback-tags-model.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-chargeback-tags-model",""
"2025-10-16-azure-chargeback-tags-model.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-chargeback-tags-model",""
"2025-10-11-azure-costs-apps-not-subscriptions.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-costs-apps-not-subscriptions",""
"2025-11-24-azure-ai-foundry-terraform.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-ai-foundry-terraform",""
"2025-11-24-azure-ai-foundry-terraform.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-ai-foundry-terraform",""
"2025-11-24-azure-ai-foundry-terraform.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-ai-foundry-terraform",""
"2025-10-14-if-you-cant-code-your-architecture.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/if-you-cant-code-your-architecture",""
"2025-11-17-three-ai-roles.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/three-ai-roles",""
"2025-09-24-azure-cost-reports-business-reality.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-reports-business-reality",""
"2025-09-24-azure-cost-reports-business-reality.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-reports-business-reality",""
"2025-10-14-azure-migration-roi-wrong.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-migration-roi-wrong",""
"2025-10-14-azure-migration-roi-wrong.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/azure-migration-roi-wrong",""
"2025-10-14-azure-migration-roi-wrong.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-migration-roi-wrong",""
"2025-12-16-azure-migrate-certificate-18-month-limit.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/azure-migrate-certificate-18-month-limit",""
"2025-10-31-azure-tag-governance-policy.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-tag-governance-policy",""
"2025-11-03-terraform-azure-devops-cicd-part1-prerequisites.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part1-prerequisites",""
"2025-11-03-terraform-azure-devops-cicd-part1-prerequisites.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part1-prerequisites",""
"2025-11-03-terraform-azure-devops-cicd-part1-prerequisites.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part1-prerequisites",""
"2025-11-23-azure-ai-foundry-rag-enterprise-reality.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-ai-foundry-rag-enterprise-reality",""
"2025-11-23-azure-ai-foundry-rag-enterprise-reality.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/azure-ai-foundry-rag-enterprise-reality",""
"2025-11-23-azure-ai-foundry-rag-enterprise-reality.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-ai-foundry-rag-enterprise-reality",""
"2025-11-14-application-migration-checklist-azure.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/application-migration-checklist-azure",""
"2025-09-23-azure-resource-tags-guide.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-resource-tags-guide",""
"2025-12-15-azure-policy-doesnt-fix-bad-architecture.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-policy-doesnt-fix-bad-architecture",""
"2025-12-15-azure-policy-doesnt-fix-bad-architecture.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-policy-doesnt-fix-bad-architecture",""
"2025-12-15-azure-policy-doesnt-fix-bad-architecture.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-policy-doesnt-fix-bad-architecture",""
"2025-12-16-why-azure-tags-fail-at-scale.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/why-azure-tags-fail-at-scale",""
"2025-12-16-why-azure-tags-fail-at-scale.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/why-azure-tags-fail-at-scale",""
"2025-12-16-why-azure-tags-fail-at-scale.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/why-azure-tags-fail-at-scale",""
"2025-12-16-why-azure-tags-fail-at-scale.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/why-azure-tags-fail-at-scale",""
"2025-10-27-soc2-azure-ad-audit-logs-step-by-step.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/soc2-azure-ad-audit-logs-step-by-step",""
"2025-11-04-terraform-azure-devops-cicd-part2-build-pipelines.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part2-build-pipelines",""
"2025-11-04-terraform-azure-devops-cicd-part2-build-pipelines.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part2-build-pipelines",""
"2025-11-04-terraform-azure-devops-cicd-part2-build-pipelines.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part2-build-pipelines",""
"2025-12-16-azure-subscriptions-security-billing-boundary.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-subscriptions-security-billing-boundary",""
"2025-12-16-azure-subscriptions-security-billing-boundary.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-subscriptions-security-billing-boundary",""
"2025-12-16-azure-subscriptions-security-billing-boundary.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-subscriptions-security-billing-boundary",""
"2025-11-24-sql-server-2025-vector-database-production-reality.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/sql-server-2025-vector-database-production-reality",""
"2025-11-24-sql-server-2025-vector-database-production-reality.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/sql-server-2025-vector-database-production-reality",""
"2025-11-24-sql-server-2025-vector-database-production-reality.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/sql-server-2025-vector-database-production-reality",""
"2025-11-05-terraform-azure-devops-cicd-part3-release-pipeline.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-azure-devops-cicd-part3-release-pipeline",""
"2025-11-05-terraform-azure-devops-cicd-part3-release-pipeline.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-azure-devops-cicd-part3-release-pipeline",""
"2025-11-05-terraform-azure-devops-cicd-part3-release-pipeline.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-azure-devops-cicd-part3-release-pipeline",""
"2025-11-16-terraform-remote-state-azure.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/terraform-remote-state-azure",""
"2025-11-16-terraform-remote-state-azure.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/terraform-remote-state-azure",""
"2025-11-16-terraform-remote-state-azure.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/terraform-remote-state-azure",""
"2025-11-09-buzzwords-meetings-confusion.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/buzzwords-meetings-confusion",""
"2025-11-09-buzzwords-meetings-confusion.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/buzzwords-meetings-confusion",""
"2025-11-09-buzzwords-meetings-confusion.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/buzzwords-meetings-confusion",""
"2025-11-30-tag-governance-247-variations.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/tag-governance-247-variations",""
"2025-11-30-tag-governance-247-variations.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/tag-governance-247-variations",""
"2025-10-27-commenting-for-continuity.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/commenting-for-continuity",""
"2025-10-27-commenting-for-continuity.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/commenting-for-continuity",""
"2025-10-27-commenting-for-continuity.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/commenting-for-continuity",""
"2025-10-27-commenting-for-continuity.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/commenting-for-continuity",""
"azure-cost-management-is-confusing-but-you-can-tame-it.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-management-is-confusing-but-you-can-tame-it",""
"azure-cost-management-is-confusing-but-you-can-tame-it.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-management-is-confusing-but-you-can-tame-it",""
"2025-12-16-azure-cost-management-lie.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-management-lie",""
"2025-12-16-azure-cost-management-lie.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-management-lie",""
"2025-12-16-azure-cost-management-lie.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-cost-management-lie",""
"2025-12-02-will-ai-replace-azure-administrators-by-2030.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/will-ai-replace-azure-administrators-by-2030",""
"2025-12-02-will-ai-replace-azure-administrators-by-2030.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/will-ai-replace-azure-administrators-by-2030",""
"2025-12-02-will-ai-replace-azure-administrators-by-2030.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/will-ai-replace-azure-administrators-by-2030",""
"2025-11-03-azure-cost-optimization-complete-guide.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-optimization-complete-guide",""
"2025-12-10-starter-kit.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/starter-kit",""
"2025-11-18-gartner-ai-forecast-azure-admin.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/gartner-ai-forecast-azure-admin",""
"2025-11-18-gartner-ai-forecast-azure-admin.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/gartner-ai-forecast-azure-admin",""
"2025-11-18-gartner-ai-forecast-azure-admin.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/gartner-ai-forecast-azure-admin",""
"2025-11-18-gartner-ai-forecast-azure-admin.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/gartner-ai-forecast-azure-admin",""
"2025-11-24-resource-tags-100k-problem.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/resource-tags-100k-problem",""
"2025-10-15-azure-migration-yard-sale-rolloff.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-migration-yard-sale-rolloff",""
"2025-10-15-azure-migration-yard-sale-rolloff.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/azure-migration-yard-sale-rolloff",""
"2025-10-15-azure-migration-yard-sale-rolloff.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-migration-yard-sale-rolloff",""
"2025-10-29-four-logic-apps-every-azure-admin-needs.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/four-logic-apps-every-azure-admin-needs",""
"2025-10-29-four-logic-apps-every-azure-admin-needs.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/four-logic-apps-every-azure-admin-needs",""
"2025-10-29-four-logic-apps-every-azure-admin-needs.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/four-logic-apps-every-azure-admin-needs",""
"2025-10-06-azure-scripts-break-server-2025.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-scripts-break-server-2025",""
"2025-10-06-azure-scripts-break-server-2025.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-scripts-break-server-2025",""
"2025-11-03-azure-cost-optimization-facade.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-optimization-facade",""
"2025-11-03-azure-cost-optimization-facade.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-optimization-facade",""
